station,time,jour,period
chatelet,21:02,semaine,jan_2018
chatelet,21:08,semaine,jan_2018
chatelet,21:11,semaine,jan_2018
chatelet,21:17,semaine,jan_2018
chatelet,21:23,semaine,jan_2018
chatelet,21:26,semaine,jan_2018
chatelet,21:32,semaine,jan_2018
chatelet,21:38,semaine,jan_2018
chatelet,21:41,semaine,jan_2018
chatelet,21:47,semaine,jan_2018
chatelet,21:53,semaine,jan_2018
chatelet,21:56,semaine,jan_2018
chatelet,22:02,semaine,jan_2018
chatelet,22:07,semaine,jan_2018
chatelet,22:11,semaine,jan_2018
chatelet,22:17,semaine,jan_2018
chatelet,22:23,semaine,jan_2018
chatelet,22:26,semaine,jan_2018
chatelet,22:32,semaine,jan_2018
chatelet,22:38,semaine,jan_2018
chatelet,22:41,semaine,jan_2018
chatelet,22:47,semaine,jan_2018
chatelet,22:53,semaine,jan_2018
chatelet,23:02,semaine,jan_2018
chatelet,23:11,semaine,jan_2018
chatelet,23:17,semaine,jan_2018
chatelet,23:23,semaine,jan_2018
chatelet,23:32,semaine,jan_2018
chatelet,23:41,semaine,jan_2018
chatelet,23:47,semaine,jan_2018
chatelet,23:56,semaine,jan_2018
chatelet,0:02,semaine,jan_2018
chatelet,0:11,semaine,jan_2018
chatelet,0:17,semaine,jan_2018
chatelet,0:32,semaine,jan_2018
chatelet,0:47,semaine,jan_2018
chatelet,5:26,ferie,nov_2017
chatelet,5:32,ferie,nov_2017
chatelet,5:38,ferie,nov_2017
chatelet,5:41,ferie,nov_2017
chatelet,5:47,ferie,nov_2017
chatelet,5:53,ferie,nov_2017
chatelet,5:56,ferie,nov_2017
chatelet,6:02,ferie,nov_2017
chatelet,6:08,ferie,nov_2017
chatelet,6:11,ferie,nov_2017
chatelet,6:17,ferie,nov_2017
chatelet,6:23,ferie,nov_2017
chatelet,6:26,ferie,nov_2017
chatelet,6:32,ferie,nov_2017
chatelet,6:38,ferie,nov_2017
chatelet,6:41,ferie,nov_2017
chatelet,6:47,ferie,nov_2017
chatelet,6:53,ferie,nov_2017
chatelet,6:56,ferie,nov_2017
chatelet,7:02,ferie,nov_2017
chatelet,7:08,ferie,nov_2017
chatelet,7:11,ferie,nov_2017
chatelet,7:17,ferie,nov_2017
chatelet,7:23,ferie,nov_2017
chatelet,7:26,ferie,nov_2017
chatelet,7:32,ferie,nov_2017
chatelet,7:38,ferie,nov_2017
chatelet,7:41,ferie,nov_2017
