trip_id,arrival_time,departure_time,stop_id,stop_sequence,station,ligne
10525335561078872,09:54:00,09:54:00,2155,15,chatelet,1
10525335571078872,13:37:00,13:37:00,2155,15,chatelet,1
10625335431078872,14:43:00,14:43:00,2155,15,chatelet,1
10625335441078872,14:43:00,14:43:00,2155,15,chatelet,1
10625335451078872,14:55:00,14:55:00,2155,15,chatelet,1
10625335461078872,10:26:00,10:26:00,2155,15,chatelet,1
10625335481078872,09:50:00,09:50:00,2155,15,chatelet,1
10625335491078872,09:56:00,09:56:00,2155,15,chatelet,1
10625335501078872,09:37:00,09:37:00,2155,15,chatelet,1
10625335511078872,13:53:00,13:53:00,2155,15,chatelet,1
10625335521078872,09:43:00,09:43:00,2155,15,chatelet,1
10625335531078872,10:26:00,10:26:00,2155,15,chatelet,1
10625335551078872,09:50:00,09:50:00,2155,15,chatelet,1
10625335561078872,09:56:00,09:56:00,2155,15,chatelet,1
10625335571078872,13:41:00,13:41:00,2155,15,chatelet,1
10725335431078872,14:48:00,14:48:00,2155,15,chatelet,1
10725335441078872,14:48:00,14:48:00,2155,15,chatelet,1
10725335451078872,14:59:00,14:59:00,2155,15,chatelet,1
10725335461078872,10:28:00,10:28:00,2155,15,chatelet,1
10725335481078872,09:52:00,09:52:00,2155,15,chatelet,1
10725335491078872,09:57:00,09:57:00,2155,15,chatelet,1
10725335501078872,09:38:00,09:38:00,2155,15,chatelet,1
10725335511078872,13:57:00,13:57:00,2155,15,chatelet,1
10725335521078872,09:44:00,09:44:00,2155,15,chatelet,1
10725335531078872,10:28:00,10:28:00,2155,15,chatelet,1
10725335551078872,09:52:00,09:52:00,2155,15,chatelet,1
10725335561078872,09:57:00,09:57:00,2155,15,chatelet,1
10725335571078872,13:44:00,13:44:00,2155,15,chatelet,1
10825335431078872,14:52:00,14:52:00,2155,15,chatelet,1
10825335441078872,14:52:00,14:52:00,2155,15,chatelet,1
10825335451078872,15:03:00,15:03:00,2155,15,chatelet,1
10825335461078872,10:31:00,10:31:00,2155,15,chatelet,1
10825335481078872,09:54:00,09:54:00,2155,15,chatelet,1
10825335491078872,09:59:00,09:59:00,2155,15,chatelet,1
10825335501078872,09:40:00,09:40:00,2155,15,chatelet,1
10825335511078872,14:01:00,14:01:00,2155,15,chatelet,1
10825335521078872,09:46:00,09:46:00,2155,15,chatelet,1
10825335531078872,10:31:00,10:31:00,2155,15,chatelet,1
10825335551078872,09:54:00,09:54:00,2155,15,chatelet,1
10825335561078872,09:59:00,09:59:00,2155,15,chatelet,1
10825335571078872,13:47:00,13:47:00,2155,15,chatelet,1
10925335431078872,14:57:00,14:57:00,2155,15,chatelet,1
10925335441078872,14:57:00,14:57:00,2155,15,chatelet,1
10925335451078872,15:07:00,15:07:00,2155,15,chatelet,1
10925335461078872,10:33:00,10:33:00,2155,15,chatelet,1
10925335481078872,09:56:00,09:56:00,2155,15,chatelet,1
10925335491078872,10:01:00,10:01:00,2155,15,chatelet,1
10925335501078872,09:41:00,09:41:00,2155,15,chatelet,1
10925335511078872,14:05:00,14:05:00,2155,15,chatelet,1
10925335521078872,09:48:00,09:48:00,2155,15,chatelet,1
10925335531078872,10:33:00,10:33:00,2155,15,chatelet,1
10925335551078872,09:56:00,09:56:00,2155,15,chatelet,1
10925335561078872,10:01:00,10:01:00,2155,15,chatelet,1
10925335571078872,13:50:00,13:50:00,2155,15,chatelet,1
11025335431078872,15:01:00,15:01:00,2155,15,chatelet,1
11025335441078872,15:01:00,15:01:00,2155,15,chatelet,1
11025335451078872,15:11:00,15:11:00,2155,15,chatelet,1
11025335461078872,10:35:00,10:35:00,2155,15,chatelet,1
11025335481078872,09:57:00,09:57:00,2155,15,chatelet,1
11025335491078872,10:03:00,10:03:00,2155,15,chatelet,1
11025335501078872,09:43:00,09:43:00,2155,15,chatelet,1
11025335511078872,14:09:00,14:09:00,2155,15,chatelet,1
11025335521078872,09:49:00,09:49:00,2155,15,chatelet,1
11025335531078872,10:35:00,10:35:00,2155,15,chatelet,1
11025335551078872,09:57:00,09:57:00,2155,15,chatelet,1
11025335561078872,10:03:00,10:03:00,2155,15,chatelet,1
11025335571078872,13:53:00,13:53:00,2155,15,chatelet,1
11125335431078872,15:05:00,15:05:00,2155,15,chatelet,1
11125335441078872,15:05:00,15:05:00,2155,15,chatelet,1
11125335451078872,15:15:00,15:15:00,2155,15,chatelet,1
11125335461078872,10:39:00,10:39:00,2155,15,chatelet,1
11125335481078872,09:59:00,09:59:00,2155,15,chatelet,1
11125335491078872,10:04:00,10:04:00,2155,15,chatelet,1
11125335501078872,09:45:00,09:45:00,2155,15,chatelet,1
11125335511078872,14:13:00,14:13:00,2155,15,chatelet,1
11125335521078872,09:51:00,09:51:00,2155,15,chatelet,1
11125335531078872,10:39:00,10:39:00,2155,15,chatelet,1
11125335551078872,09:59:00,09:59:00,2155,15,chatelet,1
11125335561078872,10:04:00,10:04:00,2155,15,chatelet,1
11125335571078872,13:56:00,13:56:00,2155,15,chatelet,1
11225335431078872,15:09:00,15:09:00,2155,15,chatelet,1
11225335441078872,15:09:00,15:09:00,2155,15,chatelet,1
11225335451078872,15:19:00,15:19:00,2155,15,chatelet,1
11225335461078872,10:43:00,10:43:00,2155,15,chatelet,1
11225335481078872,10:01:00,10:01:00,2155,15,chatelet,1
11225335491078872,10:06:00,10:06:00,2155,15,chatelet,1
11225335501078872,09:46:00,09:46:00,2155,15,chatelet,1
11225335511078872,14:17:00,14:17:00,2155,15,chatelet,1
11225335521078872,09:53:00,09:53:00,2155,15,chatelet,1
11225335531078872,10:43:00,10:43:00,2155,15,chatelet,1
11225335551078872,10:01:00,10:01:00,2155,15,chatelet,1
11225335561078872,10:06:00,10:06:00,2155,15,chatelet,1
11225335571078872,13:59:00,13:59:00,2155,15,chatelet,1
1125335431078872,06:50:00,06:50:00,2155,15,chatelet,1
1125335441078872,06:50:00,06:50:00,2155,15,chatelet,1
1125335451078872,06:50:00,06:50:00,2155,15,chatelet,1
1125335461078872,06:30:00,06:30:00,2155,15,chatelet,1
1125335481078872,06:30:00,06:30:00,2155,15,chatelet,1
1125335491078872,06:30:00,06:30:00,2155,15,chatelet,1
1125335501078872,06:30:00,06:30:00,2155,15,chatelet,1
1125335511078872,06:50:00,06:50:00,2155,15,chatelet,1
1125335521078872,06:30:00,06:30:00,2155,15,chatelet,1
1125335531078872,06:30:00,06:30:00,2155,15,chatelet,1
1125335551078872,06:30:00,06:30:00,2155,15,chatelet,1
